,llave_edcn,fk_municipio,fk_indicador,fk_fecha,valor_edcn
143,143,41885.0,232,2018-01-12,82.67
144,144,41807.0,232,2018-01-12,82.73
145,145,41801.0,232,2018-01-12,78.49
146,146,41799.0,232,2018-01-12,66.77
147,147,41797.0,232,2018-01-12,112.92
148,148,41791.0,232,2018-01-12,82.22
149,149,41770.0,232,2018-01-12,101.56
150,150,41676.0,232,2018-01-12,76.25
151,151,41668.0,232,2018-01-12,89.5
152,152,41660.0,232,2018-01-12,91.07
153,153,41615.0,232,2018-01-12,121.64
154,154,41551.0,232,2018-01-12,98.43
155,155,41548.0,232,2018-01-12,96.22
156,156,41530.0,232,2018-01-12,95.67
157,157,41524.0,232,2018-01-12,87.54
158,158,41518.0,232,2018-01-12,99.17
159,159,41503.0,232,2018-01-12,71.43
160,160,41483.0,232,2018-01-12,108.97
161,161,41396.0,232,2018-01-12,82.51
162,162,41378.0,232,2018-01-12,72.78
163,163,41359.0,232,2018-01-12,78.26
164,164,41357.0,232,2018-01-12,78.17
165,165,41349.0,232,2018-01-12,120.59
166,166,41319.0,232,2018-01-12,49.6
167,167,41306.0,232,2018-01-12,63.28
168,168,41298.0,232,2018-01-12,67.31
169,169,41244.0,232,2018-01-12,43.75
170,170,41206.0,232,2018-01-12,55.6
171,171,41132.0,232,2018-01-12,85.26
172,172,41078.0,232,2018-01-12,59.47
173,173,41026.0,232,2018-01-12,49.47
174,174,41020.0,232,2018-01-12,75.51
175,175,41016.0,232,2018-01-12,52.14
176,176,41013.0,232,2018-01-12,77.94
177,177,41006.0,232,2018-01-12,81.8
178,178,41001.0,232,2018-01-12,119.95
179,179,41000.0,232,2018-01-12,90.13
180,180,27810.0,232,2018-01-12,59.68
181,181,27800.0,232,2018-01-12,89.14
182,182,27787.0,232,2018-01-12,83.56
183,183,27745.0,232,2018-01-12,82.69
184,184,27660.0,232,2018-01-12,85.95
185,185,27615.0,232,2018-01-12,120.33
186,186,27600.0,232,2018-01-12,96.43
187,187,27580.0,232,2018-01-12,55.6
188,188,27495.0,232,2018-01-12,80.27
189,189,27491.0,232,2018-01-12,91.79
190,190,27450.0,232,2018-01-12,58.54
191,191,27430.0,232,2018-01-12,70.26
192,192,27425.0,232,2018-01-12,28.32
193,193,27413.0,232,2018-01-12,138.49
194,194,27372.0,232,2018-01-12,162.96
195,195,27361.0,232,2018-01-12,128.36
196,196,27250.0,232,2018-01-12,60.96
197,197,27245.0,232,2018-01-12,67.2
198,198,27205.0,232,2018-01-12,70.65
199,199,27160.0,232,2018-01-12,36.68
200,200,27150.0,232,2018-01-12,239.39
201,201,27135.0,232,2018-01-12,72.86
202,202,27099.0,232,2018-01-12,164.8
203,203,27077.0,232,2018-01-12,91.55
204,204,27075.0,232,2018-01-12,118.02
205,205,27073.0,232,2018-01-12,196.45
206,206,27050.0,232,2018-01-12,43.99
207,207,27025.0,232,2018-01-12,62.09
208,208,27006.0,232,2018-01-12,155.61
209,209,27001.0,232,2018-01-12,111.5
210,210,27000.0,232,2018-01-12,92.88
211,211,25898.0,232,2018-01-12,49.11
212,212,25899.0,232,2018-01-12,84.73
213,213,25885.0,232,2018-01-12,51.82
214,214,25878.0,232,2018-01-12,91.36
215,215,25875.0,232,2018-01-12,92.17
216,216,25873.0,232,2018-01-12,77.22
217,217,25871.0,232,2018-01-12,51.16
218,218,25867.0,232,2018-01-12,63.64
219,219,25862.0,232,2018-01-12,50.69
220,220,25851.0,232,2018-01-12,69.57
221,221,25845.0,232,2018-01-12,40.96
222,222,25843.0,232,2018-01-12,93.68
223,223,25841.0,232,2018-01-12,93.88
224,224,25839.0,232,2018-01-12,61.06
225,225,25823.0,232,2018-01-12,77.66
226,226,25817.0,232,2018-01-12,87.61
227,227,25815.0,232,2018-01-12,61.46
228,228,25807.0,232,2018-01-12,24.59
229,229,25805.0,232,2018-01-12,85.71
230,230,25799.0,232,2018-01-12,112.01
231,231,25797.0,232,2018-01-12,46.6
232,232,25793.0,232,2018-01-12,67.78
233,233,25785.0,232,2018-01-12,65.59
234,234,25781.0,232,2018-01-12,115.89
235,235,25779.0,232,2018-01-12,26.07
236,236,25777.0,232,2018-01-12,58.72
237,237,25772.0,232,2018-01-12,54.13
238,238,25769.0,232,2018-01-12,82.42
239,239,25758.0,232,2018-01-12,77.64
240,240,25754.0,232,2018-01-12,95.3
241,241,25745.0,232,2018-01-12,66.17
242,242,25743.0,232,2018-01-12,89.54
243,243,25740.0,232,2018-01-12,70.65
244,244,25736.0,232,2018-01-12,54.55
245,245,25718.0,232,2018-01-12,82.12
246,246,25662.0,232,2018-01-12,57.69
247,247,25658.0,232,2018-01-12,77.49
248,248,25653.0,232,2018-01-12,56.31
249,249,25649.0,232,2018-01-12,88.08
250,250,25645.0,232,2018-01-12,64.08
251,251,25612.0,232,2018-01-12,95.0
252,252,25599.0,232,2018-01-12,55.8
253,253,25596.0,232,2018-01-12,50.82
254,254,25594.0,232,2018-01-12,85.34
255,255,25592.0,232,2018-01-12,52.75
256,256,25580.0,232,2018-01-12,98.04
257,257,25572.0,232,2018-01-12,77.93
258,258,25535.0,232,2018-01-12,56.43
259,259,25530.0,232,2018-01-12,80.89
260,260,25524.0,232,2018-01-12,70.59
261,261,25518.0,232,2018-01-12,63.29
262,262,25513.0,232,2018-01-12,76.64
263,263,25506.0,232,2018-01-12,130.91
264,264,25491.0,232,2018-01-12,61.82
265,265,25489.0,232,2018-01-12,26.28
266,266,25488.0,232,2018-01-12,41.82
267,267,25486.0,232,2018-01-12,96.47
268,268,25483.0,232,2018-01-12,64.1
269,269,25473.0,232,2018-01-12,125.37
270,270,25438.0,232,2018-01-12,60.28
271,271,25436.0,232,2018-01-12,51.22
272,272,25430.0,232,2018-01-12,97.15
273,273,25426.0,232,2018-01-12,61.61
274,274,25407.0,232,2018-01-12,101.95
275,275,25402.0,232,2018-01-12,91.32
276,276,25398.0,232,2018-01-12,47.46
277,277,25394.0,232,2018-01-12,51.37
278,278,25386.0,232,2018-01-12,79.84
279,279,25377.0,232,2018-01-12,146.22
280,280,25372.0,232,2018-01-12,36.81
281,281,25368.0,232,2018-01-12,44.83
282,282,25339.0,232,2018-01-12,51.22
283,283,25335.0,232,2018-01-12,151.85
284,284,25328.0,232,2018-01-12,86.15
285,285,25326.0,232,2018-01-12,61.79
286,286,25324.0,232,2018-01-12,66.04
287,287,25322.0,232,2018-01-12,85.22
288,288,25320.0,232,2018-01-12,48.5
289,289,25317.0,232,2018-01-12,113.0
290,290,25312.0,232,2018-01-12,75.14
291,291,25307.0,232,2018-01-12,90.68
292,292,25299.0,232,2018-01-12,40.63
293,293,25297.0,232,2018-01-12,66.67
294,294,25295.0,232,2018-01-12,85.5
295,295,25293.0,232,2018-01-12,60.16
296,296,25290.0,232,2018-01-12,88.8
297,297,25288.0,232,2018-01-12,94.29
298,298,25286.0,232,2018-01-12,107.07
299,299,25281.0,232,2018-01-12,70.95
300,300,25279.0,232,2018-01-12,70.94
301,301,25269.0,232,2018-01-12,80.1
302,302,25260.0,232,2018-01-12,110.7
303,303,25258.0,232,2018-01-12,74.03
304,304,25245.0,232,2018-01-12,89.8
305,305,25224.0,232,2018-01-12,79.39
306,306,25214.0,232,2018-01-12,211.83
307,307,25200.0,232,2018-01-12,77.59
308,308,25183.0,232,2018-01-12,67.0
309,309,25181.0,232,2018-01-12,67.35
310,310,25178.0,232,2018-01-12,89.44
311,311,25175.0,232,2018-01-12,93.01
312,312,25168.0,232,2018-01-12,50.67
313,313,25154.0,232,2018-01-12,64.56
314,314,25151.0,232,2018-01-12,101.34
315,315,25148.0,232,2018-01-12,55.63
316,316,25126.0,232,2018-01-12,102.01
317,317,25123.0,232,2018-01-12,68.08
318,318,25120.0,232,2018-01-12,83.16
319,319,25099.0,232,2018-01-12,58.59
320,320,25095.0,232,2018-01-12,65.31
321,321,25086.0,232,2018-01-12,69.77
322,322,25053.0,232,2018-01-12,49.6
323,323,25040.0,232,2018-01-12,84.26
324,324,25035.0,232,2018-01-12,80.36
325,325,25019.0,232,2018-01-12,78.5
326,326,25001.0,232,2018-01-12,79.89
327,327,25000.0,232,2018-01-12,86.25
328,328,23855.0,232,2018-01-12,64.27
329,329,23815.0,232,2018-01-12,79.12
330,330,23807.0,232,2018-01-12,89.63
331,331,23686.0,232,2018-01-12,82.73
332,332,23682.0,232,2018-01-12,98.58
333,333,23678.0,232,2018-01-12,88.27
334,334,23675.0,232,2018-01-12,71.18
335,335,23672.0,232,2018-01-12,122.38
336,336,23670.0,232,2018-01-12,77.86
337,337,23660.0,232,2018-01-12,102.7
338,338,23586.0,232,2018-01-12,111.78
339,339,23580.0,232,2018-01-12,71.75
340,340,23574.0,232,2018-01-12,63.74
341,341,23570.0,232,2018-01-12,68.19
342,342,23555.0,232,2018-01-12,108.49
343,343,23500.0,232,2018-01-12,79.94
344,344,23466.0,232,2018-01-12,106.62
345,345,23464.0,232,2018-01-12,84.93
346,346,23419.0,232,2018-01-12,51.51
347,347,23417.0,232,2018-01-12,86.25
348,348,23350.0,232,2018-01-12,80.11
349,349,23300.0,232,2018-01-12,106.64
350,350,23189.0,232,2018-01-12,94.22
351,351,23182.0,232,2018-01-12,109.53
352,352,23168.0,232,2018-01-12,78.75
353,353,23162.0,232,2018-01-12,107.41
354,354,23090.0,232,2018-01-12,58.87
355,355,23079.0,232,2018-01-12,98.61
356,356,23068.0,232,2018-01-12,97.28
357,357,23001.0,232,2018-01-12,108.68
358,358,23000.0,232,2018-01-12,93.41
359,359,20787.0,232,2018-01-12,146.92
360,360,20770.0,232,2018-01-12,113.22
361,361,20750.0,232,2018-01-12,157.14
362,362,20710.0,232,2018-01-12,98.83
363,363,20621.0,232,2018-01-12,123.75
364,364,20614.0,232,2018-01-12,110.53
365,365,20570.0,232,2018-01-12,71.61
366,366,20550.0,232,2018-01-12,102.18
367,367,20517.0,232,2018-01-12,107.12
368,368,20443.0,232,2018-01-12,57.94
369,369,20400.0,232,2018-01-12,213.89
370,370,20383.0,232,2018-01-12,137.5
371,371,20310.0,232,2018-01-12,66.39
372,372,20295.0,232,2018-01-12,65.82
373,373,20250.0,232,2018-01-12,179.39
374,374,20238.0,232,2018-01-12,125.4
375,375,20228.0,232,2018-01-12,151.52
376,376,20178.0,232,2018-01-12,187.53
377,377,20175.0,232,2018-01-12,155.61
378,378,20060.0,232,2018-01-12,96.42
379,379,20045.0,232,2018-01-12,199.04
380,380,20032.0,232,2018-01-12,121.36
381,381,20013.0,232,2018-01-12,158.73
382,382,20011.0,232,2018-01-12,104.85
383,383,20001.0,232,2018-01-12,100.29
384,384,20000.0,232,2018-01-12,116.08
385,385,19824.0,232,2018-01-12,79.65
386,386,19845.0,232,2018-01-12,91.88
387,387,19821.0,232,2018-01-12,71.94
388,388,19809.0,232,2018-01-12,128.7
389,389,19807.0,232,2018-01-12,102.84
390,390,19785.0,232,2018-01-12,56.25
391,391,19780.0,232,2018-01-12,74.41
392,392,19760.0,232,2018-01-12,43.86
393,393,19743.0,232,2018-01-12,88.6
394,394,19701.0,232,2018-01-12,41.41
395,395,19698.0,232,2018-01-12,105.05
396,396,19693.0,232,2018-01-12,46.3
397,397,19622.0,232,2018-01-12,75.94
398,398,19585.0,232,2018-01-12,68.63
399,399,19573.0,232,2018-01-12,98.95
400,400,19548.0,232,2018-01-12,80.54
401,401,19533.0,232,2018-01-12,95.03
402,402,19532.0,232,2018-01-12,69.86
403,403,19517.0,232,2018-01-12,99.2
404,404,19513.0,232,2018-01-12,95.56
405,405,19473.0,232,2018-01-12,118.72
406,406,19455.0,232,2018-01-12,57.75
407,407,19450.0,232,2018-01-12,65.0
408,408,19418.0,232,2018-01-12,116.96
409,409,19397.0,232,2018-01-12,24.92
410,410,19392.0,232,2018-01-12,86.34
411,411,19364.0,232,2018-01-12,71.43
412,412,19355.0,232,2018-01-12,85.27
413,413,19318.0,232,2018-01-12,83.21
414,414,19300.0,232,2018-01-12,69.23
415,415,19290.0,232,2018-01-12,68.57
416,416,19256.0,232,2018-01-12,83.66
417,417,19212.0,232,2018-01-12,73.67
418,418,19142.0,232,2018-01-12,162.93
419,419,19137.0,232,2018-01-12,110.28
420,420,19130.0,232,2018-01-12,75.68
421,421,19110.0,232,2018-01-12,75.91
422,422,19100.0,232,2018-01-12,52.87
423,423,19075.0,232,2018-01-12,68.52
424,424,19050.0,232,2018-01-12,102.25
425,425,19022.0,232,2018-01-12,54.26
426,426,19001.0,232,2018-01-12,111.37
427,427,19000.0,232,2018-01-12,86.85
428,428,18860.0,232,2018-01-12,43.28
429,429,18785.0,232,2018-01-12,57.0
430,430,18756.0,232,2018-01-12,43.78
431,431,18753.0,232,2018-01-12,76.34
432,432,18610.0,232,2018-01-12,80.06
433,433,18592.0,232,2018-01-12,72.9
434,434,18479.0,232,2018-01-12,77.27
435,435,18460.0,232,2018-01-12,65.14
436,436,18410.0,232,2018-01-12,53.05
437,437,18256.0,232,2018-01-12,49.71
438,438,18247.0,232,2018-01-12,80.92
439,439,18205.0,232,2018-01-12,64.04
440,440,18150.0,232,2018-01-12,81.62
441,441,18094.0,232,2018-01-12,60.0
442,442,18029.0,232,2018-01-12,59.73
443,443,18001.0,232,2018-01-12,92.9
444,444,18000.0,232,2018-01-12,75.27
445,445,17873.0,232,2018-01-12,71.79
446,446,17877.0,232,2018-01-12,62.11
447,447,17867.0,232,2018-01-12,63.95
448,448,17777.0,232,2018-01-12,60.83
449,449,17665.0,232,2018-01-12,43.8
450,450,17662.0,232,2018-01-12,55.65
451,451,17653.0,232,2018-01-12,47.97
452,452,17616.0,232,2018-01-12,85.71
453,453,17614.0,232,2018-01-12,62.38
454,454,17541.0,232,2018-01-12,44.77
455,455,17524.0,232,2018-01-12,67.08
456,456,17513.0,232,2018-01-12,58.36
457,457,17495.0,232,2018-01-12,80.45
458,458,17486.0,232,2018-01-12,40.77
459,459,17446.0,232,2018-01-12,36.11
460,460,17444.0,232,2018-01-12,65.8
461,461,17442.0,232,2018-01-12,64.74
462,462,17433.0,232,2018-01-12,50.24
463,463,17388.0,232,2018-01-12,70.65
464,464,17380.0,232,2018-01-12,73.71
465,465,17272.0,232,2018-01-12,61.9
466,466,17174.0,232,2018-01-12,66.82
467,467,17088.0,232,2018-01-12,84.04
468,468,17050.0,232,2018-01-12,64.85
469,469,17042.0,232,2018-01-12,72.74
