,llave_dmgrfc,fk_municipio,fk_indicador,fk_fecha,valor_dmgrfc
125,125,17446.0,2,2018-01-12,98.0
126,126,50686.0,2,2018-01-12,69.0
127,127,85136.0,2,2018-01-12,93.0
128,128,85279.0,2,2018-01-12,59.0
129,129,85315.0,2,2018-01-12,93.0
130,130,25086.0,2,2018-01-12,70.0
131,131,25095.0,2,2018-01-12,80.0
132,132,25368.0,2,2018-01-12,90.0
133,133,25483.0,2,2018-01-12,90.0
134,134,25807.0,2,2018-01-12,89.0
135,135,25871.0,2,2018-01-12,77.0
136,136,68013.0,3,2018-01-12,72.0
137,137,68121.0,3,2018-01-12,70.0
138,138,68132.0,3,2018-01-12,62.0
139,139,68160.0,3,2018-01-12,86.0
140,140,68245.0,3,2018-01-12,90.0
141,141,68322.0,3,2018-01-12,86.0
142,142,68344.0,3,2018-01-12,98.0
143,143,68370.0,3,2018-01-12,56.0
144,144,68425.0,3,2018-01-12,94.0
145,145,68522.0,3,2018-01-12,60.0
146,146,68524.0,3,2018-01-12,99.0
147,147,68682.0,3,2018-01-12,96.0
148,148,68867.0,3,2018-01-12,89.0
149,149,50686.0,3,2018-01-12,77.0
150,150,85279.0,3,2018-01-12,70.0
151,151,25086.0,3,2018-01-12,73.0
152,152,25095.0,3,2018-01-12,91.0
153,153,25368.0,3,2018-01-12,80.0
154,154,25483.0,3,2018-01-12,100.0
155,155,25807.0,3,2018-01-12,97.0
156,156,25871.0,3,2018-01-12,73.0
157,157,15022.0,3,2018-01-12,63.0
158,158,15090.0,3,2018-01-12,67.0
159,159,15092.0,3,2018-01-12,73.0
160,160,15106.0,3,2018-01-12,94.0
161,161,15114.0,3,2018-01-12,44.0
162,162,15226.0,3,2018-01-12,61.0
163,163,15236.0,3,2018-01-12,99.0
164,164,15317.0,3,2018-01-12,67.0
165,165,15362.0,3,2018-01-12,75.0
166,166,15380.0,3,2018-01-12,89.0
167,167,15401.0,3,2018-01-12,47.0
168,168,15511.0,3,2018-01-12,86.0
169,169,15518.0,3,2018-01-12,100.0
170,170,15522.0,3,2018-01-12,69.0
171,171,15550.0,3,2018-01-12,96.0
172,172,15621.0,3,2018-01-12,92.0
173,173,15660.0,3,2018-01-12,69.0
174,174,15720.0,3,2018-01-12,78.0
175,175,15723.0,3,2018-01-12,43.0
176,176,15761.0,3,2018-01-12,87.0
177,177,15832.0,3,2018-01-12,57.0
178,178,15839.0,3,2018-01-12,77.0
