,llave_salubridad,fk_municipio,fk_indicador,fk_fecha,valor_salubridad
125,125,5893.0,262,2018-01-12,80.59
126,126,5895.0,262,2018-01-12,80.4
127,127,8000.0,262,2018-01-12,92.09
128,128,8001.0,262,2018-01-12,81.09
129,129,8078.0,262,2018-01-12,97.53
130,130,8137.0,262,2018-01-12,79.39
131,131,8141.0,262,2018-01-12,91.21
132,132,8296.0,262,2018-01-12,91.45
133,133,8372.0,262,2018-01-12,95.64
134,134,8421.0,262,2018-01-12,96.76
135,135,8433.0,262,2018-01-12,93.7
136,136,8436.0,262,2018-01-12,78.08
137,137,8520.0,262,2018-01-12,64.44
138,138,8549.0,262,2018-01-12,91.68
139,139,8558.0,262,2018-01-12,90.44
140,140,8560.0,262,2018-01-12,92.57
141,141,8573.0,262,2018-01-12,95.73
142,142,8606.0,262,2018-01-12,98.17
143,143,8634.0,262,2018-01-12,87.73
144,144,8638.0,262,2018-01-12,92.68
145,145,8675.0,262,2018-01-12,89.44
146,146,8685.0,262,2018-01-12,70.96
147,147,8758.0,262,2018-01-12,92.69
148,148,8770.0,262,2018-01-12,43.31
149,149,8849.0,262,2018-01-12,63.78
150,150,8832.0,262,2018-01-12,87.47
151,151,11001.0,262,2018-01-12,94.83
152,152,13000.0,262,2018-01-12,82.86
153,153,13001.0,262,2018-01-12,96.42
154,154,13006.0,262,2018-01-12,90.46
155,155,13030.0,262,2018-01-12,77.83
156,156,13042.0,262,2018-01-12,58.84
157,157,13052.0,262,2018-01-12,94.7
158,158,13062.0,262,2018-01-12,91.8
159,159,13074.0,262,2018-01-12,77.72
160,160,13140.0,262,2018-01-12,90.4
161,161,13160.0,262,2018-01-12,46.65
162,162,13188.0,262,2018-01-12,92.04
163,163,13212.0,262,2018-01-12,92.75
164,164,13222.0,262,2018-01-12,85.87
165,165,13244.0,262,2018-01-12,63.51
166,166,13248.0,262,2018-01-12,93.13
167,167,13268.0,262,2018-01-12,90.54
168,168,13300.0,262,2018-01-12,95.81
169,169,13430.0,262,2018-01-12,92.41
170,170,13433.0,262,2018-01-12,94.37
171,171,13440.0,262,2018-01-12,87.75
172,172,13442.0,262,2018-01-12,93.07
173,173,13458.0,262,2018-01-12,46.59
174,174,13468.0,262,2018-01-12,98.45
175,175,13473.0,262,2018-01-12,32.52
176,176,13490.0,262,2018-01-12,47.1
177,177,13549.0,262,2018-01-12,76.46
178,178,13580.0,262,2018-01-12,83.73
179,179,13600.0,262,2018-01-12,46.33
180,180,13620.0,262,2018-01-12,93.98
181,181,13647.0,262,2018-01-12,93.09
182,182,13650.0,262,2018-01-12,87.4
183,183,13654.0,262,2018-01-12,74.05
184,184,13655.0,262,2018-01-12,93.48
185,185,13657.0,262,2018-01-12,84.41
186,186,13667.0,262,2018-01-12,65.91
187,187,13670.0,262,2018-01-12,84.42
188,188,13673.0,262,2018-01-12,93.38
189,189,13683.0,262,2018-01-12,79.41
190,190,13688.0,262,2018-01-12,34.38
191,191,13744.0,262,2018-01-12,64.73
192,192,13760.0,262,2018-01-12,35.14
193,193,13780.0,262,2018-01-12,87.91
194,194,13810.0,262,2018-01-12,56.55
195,195,13836.0,262,2018-01-12,89.75
196,196,13838.0,262,2018-01-12,90.97
197,197,13873.0,262,2018-01-12,83.94
198,198,13894.0,262,2018-01-12,15.94
199,199,15000.0,262,2018-01-12,95.94
200,200,15001.0,262,2018-01-12,97.48
201,201,15022.0,262,2018-01-12,94.7
202,202,15047.0,262,2018-01-12,97.42
203,203,15051.0,262,2018-01-12,97.58
204,204,15087.0,262,2018-01-12,97.79
205,205,15090.0,262,2018-01-12,86.6
206,206,15092.0,262,2018-01-12,98.96
207,207,15097.0,262,2018-01-12,98.74
208,208,15104.0,262,2018-01-12,98.95
209,209,15106.0,262,2018-01-12,95.51
210,210,15109.0,262,2018-01-12,93.31
211,211,15114.0,262,2018-01-12,97.84
212,212,15131.0,262,2018-01-12,99.06
213,213,15135.0,262,2018-01-12,94.23
214,214,15162.0,262,2018-01-12,99.7
215,215,15172.0,262,2018-01-12,97.99
216,216,15176.0,262,2018-01-12,98.71
217,217,15180.0,262,2018-01-12,99.28
218,218,15183.0,262,2018-01-12,90.98
219,219,15185.0,262,2018-01-12,93.22
220,220,15187.0,262,2018-01-12,97.42
221,221,15189.0,262,2018-01-12,97.35
222,222,15204.0,262,2018-01-12,97.27
223,223,15212.0,262,2018-01-12,98.0
224,224,15215.0,262,2018-01-12,92.45
225,225,15218.0,262,2018-01-12,93.92
226,226,15223.0,262,2018-01-12,33.59
227,227,15224.0,262,2018-01-12,98.01
228,228,15226.0,262,2018-01-12,94.58
229,229,15232.0,262,2018-01-12,97.14
230,230,15236.0,262,2018-01-12,92.45
231,231,15238.0,262,2018-01-12,98.08
232,232,15244.0,262,2018-01-12,99.34
233,233,15248.0,262,2018-01-12,98.78
234,234,15272.0,262,2018-01-12,94.43
235,235,15276.0,262,2018-01-12,98.57
236,236,15293.0,262,2018-01-12,97.84
237,237,15296.0,262,2018-01-12,97.59
238,238,15299.0,262,2018-01-12,95.5
239,239,15317.0,262,2018-01-12,99.5
240,240,15322.0,262,2018-01-12,98.87
241,241,15325.0,262,2018-01-12,98.54
242,242,15332.0,262,2018-01-12,86.95
243,243,15362.0,262,2018-01-12,97.11
244,244,15367.0,262,2018-01-12,96.32
245,245,15368.0,262,2018-01-12,96.69
246,246,15377.0,262,2018-01-12,78.34
247,247,15380.0,262,2018-01-12,97.13
248,248,15401.0,262,2018-01-12,89.58
249,249,15403.0,262,2018-01-12,98.16
250,250,15407.0,262,2018-01-12,98.02
251,251,15425.0,262,2018-01-12,98.73
252,252,15442.0,262,2018-01-12,90.62
253,253,15455.0,262,2018-01-12,96.58
254,254,15464.0,262,2018-01-12,93.55
255,255,15466.0,262,2018-01-12,97.04
256,256,15469.0,262,2018-01-12,98.4
257,257,15476.0,262,2018-01-12,97.54
258,258,15480.0,262,2018-01-12,93.57
259,259,15491.0,262,2018-01-12,98.99
